review,sentimento
1000,NEUTRA
"Estressante, mas legal",NEGATIVA
Recomendo.,POSITIVA
"O jogo é nota 8 se nao fosse os xiters  era pra ser nota , poderiam colocar tambem todos os mapas no premier com mais opçoes de banimento de mapas isso tambem seria um diferencial .",NEGATIVA
56 5415,NEUTRA
muito top,NEUTRA
esse jogo e mto bom mais travas mto ou e meu pc pq nmrl,POSITIVA
"SE FOR PRA SER CASUAL VALE A PENA , CASO CONTRARIO KKKK BEM VINDO AO INFERNO",NEGATIVA
bom,POSITIVA
Muito bom recomendo,POSITIVA
gostei de tudo mais os hack te que ser punidooooooooooooooooo,POSITIVA
"Extremamente estressante e pouco recompensador, porém é um ótimo jogo",POSITIVA
melhor jogo,POSITIVA
WOW,NEUTRA
O pior jogo que eu ja joguei na minha vida,NEGATIVA
o ruim e apenas o xiters,NEGATIVA
CS2.,NEUTRA
bom,POSITIVA
muito bom,POSITIVA
"O jogo é muito bom, particularmente gosto muito, mas infelizmente nos ultimos mêses a Valve e a Steam nada estão fazendo para evitar os Cheats, sempre que vou jogar tem alguém de wall ou outros hacks. Uma vergonha pagar R$80,00 para ter o Prime de um jogo que não tem um anti-cheat mínimo.   Então se você não for idiota igual a eu, que quer jogar sério e realmente jogar limpo. Você da um google por Cheats CS 2, vai achar até ter planos de assinatura de R$40,00 mês pra ti virar o RAMBO nesse jogo e ser discrepantemente melhor, exemplo 40 kills em 1 partida,  e tem mais alguns planos de assinatura garantem que você não será banido da steam UMA VERGONHA PARA A VALVE E PARA A STEAM!",NEGATIVA
leagal,NEUTRA
good,NEUTRA
jogo paia,NEUTRA
Jogo péssimo 1 partida no modo especial  caio em uma partida que o cara atira no chão e dá hs,POSITIVA
só hack,NEUTRA
nt,NEUTRA
Vac Ban,NEUTRA
gostei,POSITIVA
"jogo perfeito, so nao é melhor porque nao da pra ver o CT pelado",POSITIVA
muito bom,POSITIVA
bom,POSITIVA
100000,NEUTRA
"Análise geral de Counter-Strike 2 O CS2 é, ao mesmo tempo, um dos shooters mais simples de entender e um dos mais difíceis de dominar. A base continua a mesma do CS clássico: duas equipes, economia, mira precisa e tomada de decisão. Mas o que faz o jogo sobreviver há décadas é a profundidade competitiva. O que faz o CS2 diferente de outros FPS 1. Mecânica pura importa muito No CS2: posicionamento ganha troca mira consistente vale mais que movimentação exagerada utilitárias mudam rounds inteiros erro pequeno costuma ser punido imediatamente Não existe muita “skill artificial” como habilidades de heróis ou movimentações absurdas. O jogo recompensa: disciplina timing leitura de mapa consistência Por isso muita gente considera o CS o FPS mais “honesto” competitivamente. O maior diferencial do CS2: impacto individual real Um único jogador pode: clutchar 1v3 carregar economicamente o time abrir bombsite sozinho mudar o ritmo da partida Isso cria aquela sensação clássica de: “qualquer round ainda dá pra ganhar”. Poucos jogos entregam tanta tensão em rounds decisivos quanto CS. As maiores mudanças do CS:GO → CS2 Smokes dinâmicas As smokes agora interagem com: tiros HE iluminação Isso deixou o meta mais agressivo e imprevisível. Sub-tick system A Valve tentou reduzir a sensação de delay registrando ações entre ticks tradicionais. Na prática: tiros parecem mais responsivos movimentação dividiu opiniões jogadores competitivos ainda discutem inconsistências Foi uma mudança tecnológica grande, mas controversa. Visual mais limpo e moderno O jogo ficou: mais brilhante mais legível mais agradável pra assistir Isso ajudou muito o cenário competitivo e transmissão de campeonatos. O lado competitivo do jogo O CS2 continua sendo um dos esports mais fortes do mundo. O competitivo funciona porque: é fácil entender assistindo clutchs são memoráveis economia cria narrativa habilidade individual aparece claramente Mesmo alguém que nunca jogou entende: headshot clutch defuse no último segundo Isso torna o jogo excelente como esport e conteúdo. Pontos fortes do CS2 Skill ceiling absurdo Sempre existe algo pra melhorar: crosshair placement prefire spray util rotação comunicação leitura econômica Você sente evolução real com o tempo. Recompensa inteligência Muita gente acha que CS é só mira. Na prática: informação vale ouro som decide rounds fake funciona tempo é recurso Jogadores inteligentes conseguem ganhar trocas mesmo com mira inferior. Comunidade gigantesca O jogo tem: workshop maps treino de aim surf kz retake Faceit campeonatos amadores O ecossistema do CS praticamente virou uma cultura própria. Problemas atuais do CS2 Cheaters Ainda é a crítica mais forte da comunidade, especialmente no matchmaking Premier. Isso afeta: confiança no ranking experiência casual competitividade Muita gente migra para plataformas terceiras como FACEIT por causa disso. Matchmaking inconsistente Problemas comuns: diferença grande de skill jogadores tóxicos abandono comunicação ruim O jogo depende bastante de equipe coordenada. Curva de aprendizado brutal CS2 pode ser frustrante no começo porque: você morre rápido posicionamento importa muito economia pune erros veteranos têm enorme vantagem Mas exatamente isso cria a sensação de progressão forte. O que torna CS viciante A combinação de: risco alto rounds rápidos clutchs progressão mecânica competitividade gera aquela sensação de: “só mais uma partida”. Poucos jogos conseguem transformar momentos simples em algo tão intenso quanto: um 1v1 pós-plant uma eco win um ace um round OT decisivo Veredito geral Counter-Strike 2 continua sendo: um dos FPS mais competitivos já feitos o shooter mais baseado em fundamentos um jogo extremamente recompensador pra quem gosta de melhorar Ele não tenta agradar todo mundo — e talvez justamente por isso continue tão forte depois de tantos anos.",POSITIVA
game mt bom e divertido fora os hacks,POSITIVA
"matei todo mundo e morri pra bomba, 10/10. isso mostra que independente de fazer o possivel, nao pude mudar o passado pra impedir o impossivel",NEGATIVA
CS and Go,NEUTRA
"Esse jogo é uma obre de arte, é terapia, é intercambio cultural... quem joga cs desde o 1.6, condition-zero, cs GO... sabe, simplesmente o melhor!",POSITIVA
muito top,NEUTRA
melhor fps,POSITIVA
"O cs2 free e muito bom , te ajuda a melhorar mira e reflexo , mas assim que voce entra, voce vai querer mais e mais , melhorar , jogar com outras pessoas melhores e logo vai pensar em gastar dinheiro , assim como eu.  Indico para pais de familia , mulheres, adolescentes e crianças.",POSITIVA
.,NEUTRA
"varios hacks, coisa fina.",NEUTRA
bom,POSITIVA
baguá de jogo,NEUTRA
se nao tivesse tanto homem chato seria melhor,NEGATIVA
show,NEUTRA
"o jogo e otimo, porem tem muito xitado tem muito xitado tem que ver maiis isso",POSITIVA
JOGO BOM,POSITIVA
neymar e gostoso de +,POSITIVA
amo esse game,NEUTRA
bom,POSITIVA
fui banido e gostei do jogo,NEGATIVA
top,NEUTRA
bom de mais,POSITIVA
Único problema são os hacks,NEGATIVA
"jogo bom, mas infestado de cheater",POSITIVA
"top, so tem que melhorar o anti cheat",POSITIVA
Um bom FPS para praticar e jogar modos diferentes. Um ponto muito fraco é a quantidade de cheaters.,NEUTRA
my bom,POSITIVA
xd,POSITIVA
jogo desgraçado. mas é bom,POSITIVA
TOPP,NEUTRA
perfeito,POSITIVA
top,NEUTRA
nao importa quanto tempo passe o feijao nunca abandona sua farinha o jogo e bom.,NEGATIVA
jogo bom de mais,POSITIVA
OK,POSITIVA
Bom,POSITIVA
muito bom,POSITIVA
"tiro e bomba, dahora!",NEGATIVA
"Amigo, continua sendo CS. Voce foi avisado!",POSITIVA
"Cara a cada atualização desse jogo e mais uma vontade que eu tenho de chorar, eu estou na minha segunda conta para ver se eu paro de cair com cheeter, mas não e possível que o jeito para impedir que bots farmem caixas e dar 100 de xp em uma partida casual, o sistema de pontos só funciona ate o 2000 depois ou você cai com um 10 mil ou e hacker que não quer aprender o jogo jogando, repetindo a cada atualização esse jogo me causa mais estresse melhorem por favor estou ficando calvo aos 24 isso não e normal ;-;",POSITIVA
hugo,NEUTRA
Pino muito nao recomendo,POSITIVA
top,NEUTRA
...,NEUTRA
gostei bastante,POSITIVA
muito bom morro sem parar,POSITIVA
esse jogo me fez ter depressão severa jogando com gnte que não sabia smokar janelao,NEGATIVA
Jogo péssimo,NEUTRA
"Atualmente: problemas de estabilidade, compatibilidade, rede, ""lootboxes"", menos modos de jogo, compensação de lagging mal feita, tickrate e subticks defeituosos.",NEGATIVA
"É simplesmente inacreditável que em 2026 o Counter-Strike ainda force a barra com uma mecânica de 'headshot' tão medíocre para os CTs. Se você gosta de simulação ou o mínimo de lógica física, passe longe. Dar um tiro na cara de um oponente com uma M4A1-S e ver o cara sair andando porque estava de 'capacete' é um insulto à inteligência do jogador e à engenharia armamentista. Vamos aos fatos que o jogo ignora solenemente: A Mentira do Capacete: No jogo, o capacete de $1000 parece feito de Vibranium. Na vida real, a munição 5.56x45mm NATO da M4 viaja a quase 900 metros por segundo. Nenhum capacete tático moderno (NIJ III-A) usado por forças especiais segura um tiro direto desse fuzil a curta/média distância. O projétil perfura o Kevlar como se fosse papel. Energia Cinética vs. Gameplay: Mesmo que o capacete não fosse perfurado, a transferência de energia de um projétil de fuzil no crânio causaria uma quebra instantânea das vértebras cervicais. No CS, o boneco só balança a cabeça e te mata de AK. O 'Nerf' do Silenciador: A Valve decidiu que, por ter um supressor, a arma deve causar menos dano. Na realidade, um supressor pode até aumentar a velocidade de saída do projétil. A bala não fica 'fofa' só porque a arma faz menos barulho. Balística de Brinquedo: Enquanto a AK-47 (7.62mm) mata com um tiro, a M4A1-S (que na vida real é devastadora devido à fragmentação do projétil e cavitação no tecido cerebral) parece disparar ervilhas contra um oponente minimamente equipado. Conclusão: O jogo sacrifica toda a lógica da balística terminal em nome de um 'balanceamento' artificial que beneficia o lado TR. Se você busca um jogo onde um tiro de fuzil na cabeça signifique morte (como deveria ser), procure um simulador de verdade. No CS, a física não existe e a lógica militar foi jogada no lixo.",NEGATIVA
Evolução do clássico 1.6. Jogo top.,NEUTRA
"o cs ta uma merda, você começa a jogar e logo no começo ja tem um monte de xiter filhos da puta, ai voce vai la comprqa o prime achando que vai melhorar e só tem os arrombados sem mae xitando, ai a valve vê isso e nao faz porra nenhuma, da uma suspensao de 20 horas mais depois volta a ser a mesma merda que é, sao tudos uns filhos da puta que nao querem trabalhar e deixa o jogo virar essa merdfa que virou graças a uns filhos da puta que nao sabem jogar e vao xitar",NEGATIVA
OK,POSITIVA
podre,NEGATIVA
game nice,NEUTRA
mto bom,POSITIVA
mt bom,POSITIVA
muito bom,POSITIVA
bom,POSITIVA
muito aura mais tem muito cheater cara q xinga,NEUTRA
bom jogo,POSITIVA
"jogo esta enfestado de chiters e a valve nao da a minima é uma mafia enorme dentro desse jogo era um dos meus jogos favoritos, mas esta totalmente jogado aderiva, sem supervisao nenhuma eles tem o vac, que seria o anti-cheating deles, maas nao funciona ele procura anormalidades no computador nao observa as partidas em-si",NEGATIVA
"pescar meio, morrer, kitar= CS2",NEGATIVA
gostei,POSITIVA
bão,NEUTRA
"Melhor FPS de hoje em dia, que pode competir mira com mira, sem frescura!",POSITIVA
BOM,POSITIVA
bom d+,POSITIVA
jogo ruim,NEGATIVA
"é tipo fortnite, só que não tem o salve o mundo",NEGATIVA
"Tem que melhorar o registro de dano, muitos tiros passam pelos personagens e não contam!",POSITIVA
"Até tem diversão, mas a quantidade de gente jogando com cheats não está escrito. A VAC é ineficiente e a Valve está pouco se importando em corrigir falhas que permitam o uso, afinal, é mais importante o que gastam com skins do que fazer um jogo limpo.",NEGATIVA
eu sou horrível em fps mas ainda é divertido,POSITIVA
"O jogo é legal , mesmo que as vezes vc encontre 30 ♥♥♥♥♥♥♥ que xingue sua familia inteira . 10 de 10",POSITIVA
TOP,NEUTRA
é,NEUTRA
E BOM,POSITIVA
sim.,POSITIVA
"JOGO TOXICO, NÃO ENTRE",NEGATIVA
.,NEUTRA
"meu sonho e ser banido, seria um livramento para mim, jogo legal, sao os venezuelanos filhos de uma puta que ser burros ate de mais.",NEGATIVA
massa,NEUTRA
tirando o xiter e os toxico o jogo e baum,NEUTRA
não recomendo,POSITIVA
bom,POSITIVA
♥♥♥♥****,NEUTRA
AMOR E ÓDIO POR ESSE JOGO!,NEUTRA
Jogo muito bom,POSITIVA
jogo muito bueno,NEUTRA
Muito bom,POSITIVA
depois de poucas horas o jogo fica sem graça,POSITIVA
e bem legal mais dps de um tempo quando voce e ruim voce e apenas molestado pelos seus amigos e oponentes,POSITIVA
Já pode trocar esses hacks que nao presta...,NEGATIVA
acabei de comprar e ja me arrependi,NEUTRA
muito bom com otima mecanica,POSITIVA
top,NEUTRA
legal mas tem pessoas racistas e preconceituosas e xenofobicas,NEGATIVA
sempre gostei desde o 1.6.. oq eu nao gosto e dos Hacker =( que ainda tem bastante,POSITIVA
"10/10 para quem gosta de combate de ataque e defesa. O jogo ocorre principalmente com o cenário de foco competitivo e cooperativo entre os jogadores. Há também os modos mata-mata e corrida armada. Nunca fui muito fã desses modos, mas isso não limita o cs. Há diversos modos de jogos e servidores da comunidade, onde você pode jogar um jogo totalmente diferente, recomendo modo surf, jailbreake e zombiemod. De jogo de combate competitivo de atacar e defender bomb de forma realistica, não há jogo melhor que cs.",POSITIVA
jogo bom pra karai joguei cs1.6 joguei csgo desde 2016 tenho 3087 horas jogadas de cs go mas cs 2 ta infestado de hackers,POSITIVA
Top,NEUTRA
muito bom,POSITIVA
nao gostei mas é legal,POSITIVA
okk,NEUTRA
"entrei no jogo, puxei um competitivo, morri, e xingaram até a primeira geração da minha familia, recomendo",POSITIVA
Muito top,NEUTRA
mt bom,POSITIVA
"gostei da movimentação, e não gostei da parte de ter muito xiter jogando",POSITIVA
"um bom jogo, não atoa tenho 1k de hrs kkkk oq esta matando o game é a quantidade de hacks em servidor... se melhorarem isso o game fica nota 1.000",NEGATIVA
"rapaz se voce quer passar raiva e ao mesmo tempo se divertir e subir de patente se tiver o prime, bora que bora kkkkkk",NEGATIVA
sdasd,NEUTRA
ruim,NEGATIVA
horivel,NEUTRA
"O jogo está insuportável, cheio de trapaceiros e uma comunidade tóxica. O antcheat simplesmente não funciona, e quando funciona só dá uma suspensão de alguns minutos!",NEGATIVA
bonzinho,NEUTRA
"jogo muito bom, unico defeito muito rack",NEUTRA
"cheio de xiter, um lixo",NEUTRA
"Cara, tirando boludo e hacker o jogo é top.",NEUTRA
Meu jogo da vida.,NEUTRA
"jogo véi do krai, n compensa",NEUTRA
Jogo da degr@ç@,NEUTRA
é matar ou morrer,NEGATIVA
"muito legal, me ensinaram 100000000000000000000 diferentes de me matar",POSITIVA
top,NEUTRA
bao,NEUTRA
sim,POSITIVA
"jogo e bom porem, so tem hack quando voce inicia, modo especial realmente e especial so as lenda comendo parede",POSITIVA
Jogo de eliminar terroristas. aprovado.,NEGATIVA
sdadas,NEUTRA
o maior lixo que existe,POSITIVA
muito bom,POSITIVA
paia dms,NEUTRA
tesap e odio em forma de jogo,NEGATIVA
"se fosse pra começar a jogar agora sabendo a podridão que é esse jogo não teria começado, mais ja que começei",NEGATIVA
"Muito enjoativo, muito cheater, Valve faz alguma coisa pra esse AntiCheat funcionar por favor!!!!!!",NEUTRA
JOGO MUITO BOM,POSITIVA
tem muito xitado e argentinos ruim e irritantes mas é legal de vc não tiver risco de infarto por estresse,NEGATIVA
JOGO LIXO !,NEUTRA
,NEUTRA
top,NEUTRA
recomendo esta merda para passar raiva,NEGATIVA
"Recomendo caso não há mais expectativas de melhora de personalidade e de vida, jogão.",POSITIVA
Excelente jogo,POSITIVA
"passando raiva ou não é resenha, mas, com os amigos",POSITIVA
tenha calma ao jogar esse jogo e bom com os xiters.... não tenha calma e xingue eles,POSITIVA
melhor game de todos,POSITIVA
legal,POSITIVA
top,NEUTRA
"Prime pago, mesmo assim tem xit!  VALVE faz aluga coisa pfvr....",NEUTRA
resenha garantida,NEUTRA
top,NEUTRA
"olha sou ruim mas gostei, recomendo.",POSITIVA
muito bom. não tem hack,POSITIVA
bom jogo,POSITIVA
"É um jogo incrivel porem é tipo drogas, quando vc vicia não da para parar",NEGATIVA
0800,NEUTRA
muito dahora,NEUTRA
ruim,NEGATIVA
"não sei como alguém pode gostar de um jogo assim, mecânica bizarra e ultrapassada, personagem duro, mira dura. fora q tu atira a bala é vesga, mecânica porca",POSITIVA
Jogo muito bom porém estar acabando com tantos xiters!,POSITIVA
bom,POSITIVA
top,NEUTRA
"Sinceramente eu não sei como tem gente que ainda consegue jogar isso, fiquei anos sem jogar por conta dos hacks que tomaram conta dos servidores, e hoje em 2026 ta pior, que doidera, e o pior é que esses cara nem ban tão tomando... ai você tem que jogar nos servidores privados, faceit ou gc que sinceramente não é nada atrativo pelo menos pra mim, infelizmente depois de longos 20 anos pra mais de cs está aqui meu ultimo contato com o jogo. Farm de gold com skins ta tendo, agora um anti cheat que preste kkkkkkk",NEGATIVA
É um dos jogos já feitos,NEUTRA
Melhor fps de todos os tempos!!!!!,POSITIVA
"extremamente dificil para iniciantes.  a forma que esta hoje esse jogo, acaba ""assustando"" ou desanimando quem estra para iniciar/tentar pois a grande maioria dos players ja tem consideravel experiencia. na época do jogo quake2 fui um dos 3 melhores player do BR, porem faziamos salas particulares para jogar uma modalidade de configuracao chamada rail.cfg que consistia em todos terem uma arma bem forte que um disparo acertado ja eliminava o oponente... obviamente um novato ali no meio nem conseguiria se mexer e, mata mata aqui no CS2 esta sendo exatamente assim.",NEGATIVA
gostei,POSITIVA
jogo divertido,POSITIVA
"Para ser um excelente jogo, precisa evoluir seu anti-shet",POSITIVA
"Jogo abandonado, tu não vê nenhum hacker tomando ban, quanto mais tu sobe, mais tu é punido com hacker na tua partida. Jogo pra bagre testar hack a vontade, nunca mudou e nunca vai mudar",NEGATIVA
BRABO,NEUTRA
"Esta infestado de cheaters, mas em suma, é um bom jogo, o que estraga é a toxidade, os chorões e o cheaters.",POSITIVA
muito hack,NEUTRA
"jogo horrivel, vc paga 80 reais para justamente n cair com xiter e adivinha? vc cai contra o mesmo xiter 5 vezes e olha que estou tentando pegar as 10 vitorias para pegar o rank, se vc quer jogar o premier e inviavel e o anti xiter mais porco que eu ja vi",NEGATIVA
muito lag nessa desgraça,NEGATIVA
E,NEUTRA
n sei,NEUTRA
só precisa melhorar o anti-cheat,POSITIVA
MUITO BOM,POSITIVA
muito bom !!,POSITIVA
"Muito divertido, jogabilidade excelente. No entanto, é muito difícil conseguir terminar uma partida inteira, mais difícil ainda é terminar com todos os 10 jogadores, isso acaba deixando o jogo chato.",POSITIVA
"Melhor jogo de todos, cheio de cheaters, as vezes é so um cara bom, mais a maioria e cheaters, mais e isso ai, da pra trocar tiro e ch1ng4r los hermaos",POSITIVA
até legal,POSITIVA
O jogo que não te permite dar TK mas permite cheater kkkkkk isso é Cs go,NEGATIVA
"Olá equipe da Valve, Gostaria de deixar um feedback sobre o Counter-Strike 2. Tenho enfrentado muitas partidas com hackers, o que está prejudicando bastante a experiência competitiva. Seria muito importante melhorar o sistema anti-cheat para tornar o jogo mais justo. Além disso, gostaria de sugerir o retorno de mapas clássicos que muitos jogadores sentem falta, como Aztec, Cobblestone e Canals. Esses mapas eram únicos e traziam muita variedade e nostalgia ao jogo. Trazer esses mapas de volta, mesmo que em modos casuais ou eventos especiais, deixaria o jogo mais divertido e atrativo para a comunidade. Obrigado pelo trabalho e pelo suporte contínuo ao jogo. Atenciosamente,",POSITIVA
sou muito fa,NEUTRA
qrebado,NEUTRA
jogo muito bom mas com anti-cheat ruim,NEGATIVA
Fui Xingado em 57 idiomas diferentes Bom de mais  10/10,POSITIVA
"Muito bom, me ajudou a ter motivos pra odiar o ser humano 👍",NEGATIVA
bom jogo,POSITIVA
"O CS2 precisava urgentemente de um sistema anti-cheat mais eficiente, punições mais rápidas e uma filtragem melhor de contas suspeitas. Enquanto isso não melhorar, fica difícil recomendar o jogo para quem busca uma experiência competitiva séria e justa. Não recomendo no estado atual. O jogo tem potencial, mas a quantidade de cheaters acaba estragando a experiência.",POSITIVA
kappa,NEUTRA
"Muito bom, o que estraga é os xiters :(",NEUTRA
apesar de varios hackers de cs. bom jogo,POSITIVA
É o counters,NEUTRA
"Típico competitivo de ame ou odeie, tu ama as skins e as resenhas, mas odeia os cheaters e o anticheat da valve, tu ama um ou dois mapas e odeia 2 ou 4 e assim vai, o jogo é ótimo, recomendo de mais que jogue com amigos ou sozinho pra fazer novos amigos e a comunidade é bem composta e mista, as vezes tu cai com argentino que passa fome e ta estressadinho e as vezes tu cai com baiano que ta quase dormindo e joga muito pra te carregar, são variáveis divertidas e engraçadas, enfim, recomendo que começe a jogar agora e compra o prime, tu ganha caixinhas bonitinhas que podem ser vendidas e trocadas por outras skins ou então abertas por mais dinheirinhos reais te dando possibilidade de ganhar uma faca de 5.000 dinheirinhos. VALE A PENA!",POSITIVA
top,NEUTRA
"Acho esse jogo revolucionário no quesito entrega de sentimentos, é incrível como não importa quantas coisas boas aconteceram no seu dia, basta apenas cair em uma partida com dois argentinos e pronto, acabou toda a felicidade acumulada durante sua semana toda.",POSITIVA
"se pelo menos dificultasse mais pro xiters, já estava bom",POSITIVA
melhor fps da hisotira,POSITIVA
gostei,POSITIVA
w,NEUTRA
bom,POSITIVA
Cs né pai,NEUTRA
bom,POSITIVA
O jogo infelizmente so tem xitado tanto no premier quanto no competitivo quanto no braco direito independente do trust factor tanto nos ranks baixos quanto nos ranks altos,NEGATIVA
melhor fps da historia,POSITIVA
bom,POSITIVA
jogo ruim,NEGATIVA
"Dica para quem vai baixar ou iniciar o CS agora, Entendam que o jogo esta infestado de HACK então nao se surpreenda em 10 partidas jogadas 8 serão contra ou com HACK, o jogo vive um momento delicado a maioria do pessoal classificação alta e intermediaria são todas HACK, se você quer progredir no game se vc quer aprender a jogar e esta disposto a melhorar e querem, recomendo ir para a GC e FACE IT são plataformas onde vc baixa um anti-cheat próprio e evolui realmente porem não recebe XP no jogo da valve.",POSITIVA
muito xiters,NEUTRA
Nice !,NEUTRA
"Jogo bom, empresa ruim, vcs decidem :)",POSITIVA
Muito bom,POSITIVA
mt bom,POSITIVA
muito bom!,POSITIVA
"jogo completamente abandonado, cheio de xiter unica coisa que os cara faz é caixa para tirar dinheiro dos outros.",NEGATIVA
Jogabilidade do CS2 vem evoluindo muito. O mercado de Skins é algo fantástico. Falta melhorar ainda o VAC para banir a quantidade de usuários com trapaças em jogos.,NEGATIVA
simplesmente um dos melhores fps ainda de pé que vale apena jogar,NEUTRA
ainda tem que descrever kkkkkkkk,NEUTRA
bom,POSITIVA
Muito Bom,POSITIVA
top,NEUTRA
jogo de cuiudo,NEUTRA
OTIMO JOGO,POSITIVA
melhor jog alem de ser muito leve rodando ate numa batata e otimo ainda tendo varias pessoas que ainda joga,POSITIVA
"o jogo tem um problema chato que não é tão simples de corrigir, error 126 correspondente a arquivos ausentes ou corrompidos",NEGATIVA
Esse jogo é uma desgraça infestado cheaters,NEGATIVA
"As vezes jogo igual profissional matando mais de 25 e as vezes parece que acabei de instalar o jogo e só consigo 3~4 kills, jogo perfeito 10/10",NEGATIVA
ótimo,POSITIVA
RUIM,NEGATIVA
Só inicio,NEUTRA
xik,NEUTRA
goood,NEUTRA
BOM,POSITIVA
"jogo top D+, muito facil passar horas jogando",POSITIVA
bom,POSITIVA
muito bom,POSITIVA
Padrão.,NEUTRA
muiito  bom,POSITIVA
jogo horroroso <3,POSITIVA
bom jogo,POSITIVA
muito bom,POSITIVA
"Nem um pouco estressante, e nenhum hack, bom jogo!!",NEGATIVA
😪,NEUTRA
mmuito bom,POSITIVA
Amor e ódio esse jogo,NEUTRA
"isso não e um jogo grátis, cada partida rouba um pedaço da sua sanidade ate não sobrar mais nada a não ser arrependimentos. melhor jogo do mundo",NEGATIVA
yes,NEUTRA
jogo muito bom,POSITIVA
comunidade muito toxica com iniciantes,NEUTRA
online jogo fps bom as vezes ruim todas as outras,NEGATIVA
bom dms,POSITIVA
mt bom,POSITIVA
jogo incrivel quase quebrei tres  teclados para tentar jogar recomendo de mais,POSITIVA
"Top, mas tem muito hack.",NEUTRA
recomendo jogar 2x ou 3 na semana pega as caixa da valve e ir joga faceit ou gc MARCHA E BOA!!!,POSITIVA
bichovis,NEUTRA
"Depois de um tempo, você começa a repensar sobre sua vida, hoje abro este game simplesmente para preencher o profundo vazio da alma, nada mias que o puro vício.",POSITIVA
Achei muito dhora a mecanica do CS.,NEUTRA
wow,NEUTRA
jogo legal mas nao otimisado para pc sem placa de video mas compensa baixa 10/10,NEGATIVA
top,NEUTRA
Não me pegou. O 1.6 continua sendo muito superior em termos de diversão pura. Essa nova mecânica de competitivo no CS2 tirou o brilho das partidas e deixou o jogo chato. Uma pena o rumo que a franquia tomou.,POSITIVA
.,NEUTRA
Muito bom :),POSITIVA
top,NEUTRA
"estraga sua vida, faz passar raiva e fumar 1 maço de cigarro por dia. alem dos xiters q a cada 10, 3 sao limpos no game. enfim, jogo bom!!!",NEGATIVA
todo jogo tem um troll que fica entrando na frente e vc toma ban por conta do fdp tomei ban de 2 mês boludo fdp,NEUTRA
Sim,POSITIVA
chave,NEUTRA
"incrível só falta um ante-xite pq se a pessoa é ruim te ximgam, e se é boa te chamam de xitado",NEGATIVA
é bom até,POSITIVA
legal,POSITIVA
"Tirando os xitados o jogo é muito legal, bastante resenha com os manitos kkkkk...",POSITIVA
very good,NEUTRA
Revivendo momentos,NEUTRA
jogo de merda cheio de hacker e meu tambem meu irmao e viciado nessa merda,NEGATIVA
sim ;),POSITIVA
"Perdi minha namorada, minha vida, oportunidades de emprego, vida social, para jogar com velhos rabugentos, crianças chatas e adolescentes com hack. Hoje em dia minha família acha que eu sou retardado por causa desse jogo muito bom 10/10",NEUTRA
clean,NEUTRA
jogo muito bom,POSITIVA
"Lembranças felizes, exemplo, 1.6   -   parte ruim,  muitos cheaters",NEGATIVA
top,NEUTRA
.,NEUTRA
O melhor jogo de FPS,POSITIVA
a,NEUTRA
top,NEUTRA
jogo muito bom,POSITIVA
jogando como nunca perdendo como sempre,NEGATIVA
"jogo muito bom , mas sinto sdds do cs go raiz",POSITIVA
"Jogo bom, apesar de ser ruim ainda estou aprendendo",NEGATIVA
bom jogo,POSITIVA
bom jogo podia ser melhor,POSITIVA
top fps,NEUTRA
"Jogo é bom, apanho mais q tambor de macumba mas o jogo é bom.",POSITIVA
muito bom,POSITIVA
Melhor jogo.,POSITIVA
"sim, e não!!!",NEUTRA
bom,POSITIVA
simplesmente o melhor,POSITIVA
Excelente jogo! Nada a reclamar!,POSITIVA
Sim,POSITIVA
jogo bom,POSITIVA
sim,POSITIVA
muito bom,POSITIVA
UMA DECEPÇÃO MUITO BOA  ..,NEUTRA
Bom fps,POSITIVA
"malucoojogoebomdms,ounicoproblemaqueeletemeoscheatsquesãoumacoisanojenta,soquequemjogousabeoquantoelesatrapalham,nãosonapartidaesimnavontadedejogarogame,complicadoessejogo",NEUTRA
Esse jogo é pior que LOL.... 10/10,NEGATIVA
é o cs ne,NEUTRA
