review,recomendado,votos_uteis
"GAME TOP, E RUIM AO MESMO TEMPO SOCORRO",True,0
1000,True,0
"Estressante, mas legal
",True,0
Recomendo.,True,0
"O jogo é nota 8 se nao fosse os xiters  era pra ser nota , poderiam colocar tambem todos os mapas no premier com mais opçoes de banimento de mapas isso tambem seria um diferencial .",True,0
"56
5415",True,0
muito top,True,0
"esse jogo e mto bom mais travas mto ou e meu pc pq nmrl
",True,0
jogo meio enjoativo,True,0
"esse jogo é foda... tem um problema com xiters, mas é o melhor fps de todos os tempos.",True,0
"SE FOR PRA SER CASUAL VALE A PENA , CASO CONTRARIO KKKK BEM VINDO AO INFERNO",True,0
bom,True,0
Muito bom recomendo,True,0
"gostei de tudo mais os hack te que ser punidooooooooooooooooo
",True,0
"Extremamente estressante e pouco recompensador, porém é um ótimo jogo",True,0
melhor jogo,True,0
WOW,True,0
O pior jogo que eu ja joguei na minha vida,True,0
o ruim e apenas o xiters,True,0
CS2.,True,0
bom,True,0
"muito bom
",True,0
"O jogo é muito bom, particularmente gosto muito, mas infelizmente nos ultimos mêses a Valve e a Steam nada estão fazendo para evitar os Cheats, sempre que vou jogar tem alguém de wall ou outros hacks. Uma vergonha pagar R$80,00 para ter o Prime de um jogo que não tem um anti-cheat mínimo.  

Então se você não for idiota igual a eu, que quer jogar sério e realmente jogar limpo. Você da um google por Cheats CS 2, vai achar até ter planos de assinatura de R$40,00 mês pra ti virar o RAMBO nesse jogo e ser discrepantemente melhor, exemplo 40 kills em 1 partida,  e tem mais alguns planos de assinatura garantem que você não será banido da steam UMA VERGONHA PARA A VALVE E PARA A STEAM!
",False,0
leagal,True,0
good,True,0
jogo paia,False,0
Jogo péssimo 1 partida no modo especial  caio em uma partida que o cara atira no chão e dá hs,False,0
só hack,True,1
nt,True,0
Vac Ban,False,0
"e legal e moito legal
",True,0
gostei,True,0
"jogo perfeito, so nao é melhor porque nao da pra ver o CT pelado",True,0
muito bom,True,0
"jogo maligno
",False,0
bom,True,0
100000,True,0
