id_leitura,temperatura_celsius,pressao_psi
1,76.49,101.62
2,74.59,98.07
3,76.94,96.62
4,79.57,103.06
5,74.3,105.15
6,74.3,104.66
7,,95.8
8,77.3,98.45
9,73.59,101.66
10,,104.88
11,250.0,97.6
12,73.6,99.07
13,,94.47
14,69.26,94.02
15,69.83,104.06
16,73.31,106.78
17,71.96,99.64
18,,105.02
19,72.28,101.81
20,,96.77
21,79.4,500.0
22,74.32,
23,75.2,99.82
24,70.73,107.82
25,73.37,86.9
26,75.33,104.11
27,71.55,
28,76.13,98.5
29,73.2,100.46
30,74.12,90.06
31,300.0,98.9
32,80.56,101.79
33,74.96,107.39
34,71.83,97.41
35,77.47,95.96
36,71.34,97.49
37,75.63,104.58
38,69.12,101.64
39,71.02,97.35
40,75.59,102.57
41,77.22,100.49
42,75.51,104.84
43,74.65,96.49
44,74.1,98.36
45,70.56,
46,72.84,92.68
47,73.62,101.48
48,78.17,
49,76.03,100.03
50,69.71,98.83
